date,area,road,volume,speed,tti,congestion,capacity_util,incidents,env_impact,pt_usage,signal_compliance,parking_usage,ped_count,weather,roadwork,intersection_id,roadwork_flag,is_synthetic
2024-07-06,Electronic City,Hosur Road,20618.2,50.56533184234195,1.327824134671648,72.68972999793601,99.49801755964877,1.6,91.23639999999999,23.557295732450907,79.07514649791018,81.41310806370826,100.4,Clear,No,Electronic City::Hosur Road,0,1
2024-07-07,Electronic City,Hosur Road,20326.4,52.931756519035254,1.275940195860586,71.96620485297727,98.99603511929753,1.2,90.6528,22.267020297819585,80.39761700355417,79.64793415558697,99.8,Clear,No,Electronic City::Hosur Road,0,1
2024-07-08,Electronic City,Hosur Road,20034.6,55.29818119572855,1.2240562570495244,71.24267970801851,98.4940526789463,0.7999999999999999,90.0692,20.976744863188266,81.72008750919817,77.88276024746565,99.2,Clear,No,Electronic City::Hosur Road,0,1
2024-07-09,Electronic City,Hosur Road,19742.8,57.66460587242186,1.1721723182384625,70.51915456305977,97.99207023859506,0.3999999999999999,89.4856,19.686469428556943,83.04255801484216,76.11758633934436,98.6,Clear,No,Electronic City::Hosur Road,0,1
2024-07-10,Electronic City,Hosur Road,19451.0,60.03103054911516,1.1202883794274008,69.79562941810103,97.49008779824383,0.0,88.902,18.39619399392562,84.36502852048615,74.35241243122306,98.0,Clear,No,Electronic City::Hosur Road,0,0
2024-07-11,Electronic City,Hosur Road,16267.333333333334,50.34607135227793,1.1984270072983834,57.615222751498955,82.76584226336472,0.0,82.53466666666667,33.71180803072585,77.46474568850925,79.8924327173261,130.33333333333334,Clear,No,Electronic City::Hosur Road,0,1
2024-07-12,Electronic City,Hosur Road,13083.666666666668,40.661112155440705,1.2765656351693657,45.43481608489688,68.0415967284856,0.0,76.16733333333333,49.027422067526075,70.56446285653237,85.43245300342913,162.66666666666669,Clear,No,Electronic City::Hosur Road,0,1
2024-07-13,Electronic City,Hosur Road,9900.0,30.97615295860348,1.3547042630403483,33.2544094182948,53.31735119360649,0.0,69.8,64.3430361043263,63.664180024555485,90.97247328953218,195.0,Overcast,No,Electronic City::Hosur Road,0,0
2024-07-14,Electronic City,Hosur Road,15160.0,27.804464097975824,1.1840305366105004,52.174518759319334,76.65867559680325,0.5,80.32,43.95503342356037,67.97480556926403,89.09602350216329,153.0,Overcast,No,Electronic City::Hosur Road,0,1
2024-07-15,Electronic City,Hosur Road,20420.0,24.632775237348167,1.0133568101806527,71.09462810034387,100.0,1.0,90.84,23.567030742794447,72.28543111397259,87.21957371479442,111.0,Clear,No,Electronic City::Hosur Road,0,0
2024-07-16,Electronic City,Hosur Road,17388.75,28.791762779990282,1.0537460047581961,62.376660391192566,85.69020576791249,0.75,84.7775,20.303885622704943,75.327329421734,82.91983449618041,133.0,Clear,No,Electronic City::Hosur Road,0,1
2024-07-17,Electronic City,Hosur Road,14357.5,32.950750322632395,1.0941351993357396,53.65869268204126,71.38041153582498,0.5,78.715,17.040740502615442,78.3692277294954,78.6200952775664,155.0,Clear,No,Electronic City::Hosur Road,0,1
2024-07-18,Electronic City,Hosur Road,11326.25,37.10973786527451,1.1345243939132827,44.94072497288997,57.07061730373747,0.25,72.6525,13.777595382525938,81.41112603725682,74.32035605895238,177.0,Clear,No,Electronic City::Hosur Road,0,1
2024-07-19,Electronic City,Hosur Road,8295.0,41.26872540791663,1.1749135884908262,36.222757263738664,42.76082307164996,0.0,66.59,10.514450262436435,84.45302434501824,70.02061684033838,199.0,Clear,No,Electronic City::Hosur Road,0,0
2024-07-20,Electronic City,Hosur Road,20541.0,48.10363574311432,1.2877971932113157,71.42886105669304,100.0,2.0,91.082,17.370954177051868,92.241990329496,83.73005900440299,100.0,Fog,No,Electronic City::Hosur Road,0,0
2024-07-21,Electronic City,Hosur Road,17948.666666666668,51.378407533149385,1.272110849908173,62.04724254997161,86.69883806657795,1.6666666666666667,85.89733333333332,26.244891659452925,91.71155780700177,84.44671892617076,120.83333333333333,Fog,No,Electronic City::Hosur Road,0,1
